battery_voltage	64.00
battery_capacity_coulomb	53957.8242187500
battery_capacity_milli_coulomb	53957824
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.33738
% bat	49960.94921
% batA	0.00000
% batB	100.00000
% batC	151.33927

dt_ms	41992.00
last_read_micros	4624556
current_read_micros	4666548
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0996000766
calculte_milli_coulombs_transffred	-335936.0312500000
battery_capacity_coulomb	53949.6015625000
battery_capacity_milli_coulomb	53949600
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.36180
% bat	49953.33203
% batA	0.00000
% batB	0.00000
% batC	93.97322

V bat
70.82 V
dt_ms	67056.00
last_read_micros	4666548
current_read_micros	4733604
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.3527998924
calculte_milli_coulombs_transffred	-536448.0000000000
battery_capacity_coulomb	53941.3437500000
battery_capacity_milli_coulomb	53941344
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.38621
% bat	49945.69140
% batA	0.00000
% batB	0.00000
% batC	36.38393

dt_ms	39016.00
last_read_micros	4733604
current_read_micros	4772620
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9507999420
calculte_milli_coulombs_transffred	-312128.0000000000
battery_capacity_coulomb	53929.1835937500
battery_capacity_milli_coulomb	53929184
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.42283
% bat	49934.42968
% batA	0.00000
% batB	0.00000
% batC	-48.43750

dt_ms	41828.00
last_read_micros	4772620
current_read_micros	4814448
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0913999080
calculte_milli_coulombs_transffred	-334624.0312500000
battery_capacity_coulomb	53944.7343750000
battery_capacity_milli_coulomb	53944736
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.37705
% bat	49948.82812
% batA	0.00000
% batB	0.00000
% batC	60.04464

dt_ms	41732.00
last_read_micros	4814448
current_read_micros	4856180
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0866000652
calculte_milli_coulombs_transffred	-333856.0312500000
battery_capacity_coulomb	53937.7929687500
battery_capacity_milli_coulomb	53937792
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.39842
% bat	49942.40234
% batA	0.00000
% batB	0.00000
% batC	11.60714

dt_ms	41728.00
last_read_micros	4856180
current_read_micros	4897908
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0864000320
calculte_milli_coulombs_transffred	-333824.0312500000
battery_capacity_coulomb	53931.6171875000
battery_capacity_milli_coulomb	53931616
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.41673
% bat	49936.68359
% batA	0.00000
% batB	0.00000
% batC	-31.47322

dt_ms	41824.00
last_read_micros	4897908
current_read_micros	4939732
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0912001132
calculte_milli_coulombs_transffred	-334592.0312500000
battery_capacity_coulomb	53925.4726562500
battery_capacity_milli_coulomb	53925472
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.43504
% bat	49930.99218
% batA	0.00000
% batB	0.00000
% batC	-74.33036

dt_ms	41816.00
last_read_micros	4939732
current_read_micros	4981548
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0908000469
calculte_milli_coulombs_transffred	-334528.0312500000
battery_capacity_coulomb	53918.5585937500
battery_capacity_milli_coulomb	53918560
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.45640
% bat	49924.59375
% batA	0.00000
% batB	-100.00000
% batC	-122.54464

BAT PERCENT
49.92 %
dt_ms	76632.00
last_read_micros	4981548
current_read_micros	5058180
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8315999984
calculte_milli_coulombs_transffred	-613056.0000000000
battery_capacity_coulomb	53911.7109375000
battery_capacity_milli_coulomb	53911712
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.47777
% bat	49918.25000
% batA	0.00000
% batB	-100.00000
% batC	-170.31250

dt_ms	39448.00
last_read_micros	5058180
current_read_micros	5097628
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9723999023
calculte_milli_coulombs_transffred	-315584.0000000000
battery_capacity_coulomb	53888.4804687500
battery_capacity_milli_coulomb	53888480
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.54796
% bat	49896.74218
% batA	0.00000
% batB	100.00000
% batC	124.77679

dt_ms	41992.00
last_read_micros	5097628
current_read_micros	5139620
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0996000766
calculte_milli_coulombs_transffred	-335936.0312500000
battery_capacity_coulomb	53900.5742187500
battery_capacity_milli_coulomb	53900576
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.51134
% bat	49907.94140
% batA	0.00000
% batB	200.00000
% batC	209.15177

dt_ms	41988.00
last_read_micros	5139620
current_read_micros	5181608
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0994000434
calculte_milli_coulombs_transffred	-335904.0312500000
battery_capacity_coulomb	53892.3203125000
battery_capacity_milli_coulomb	53892320
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.53575
% bat	49900.30078
% batA	0.00000
% batB	100.00000
% batC	151.56250

dt_ms	41992.00
last_read_micros	5181608
current_read_micros	5223600
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0996000766
calculte_milli_coulombs_transffred	-335936.0312500000
battery_capacity_coulomb	53884.0976562500
battery_capacity_milli_coulomb	53884096
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.56016
% bat	49892.68359
% batA	0.00000
% batB	0.00000
% batC	94.19643

dt_ms	41724.00
last_read_micros	5223600
current_read_micros	5265324
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0861999988
calculte_milli_coulombs_transffred	-333792.0312500000
battery_capacity_coulomb	53875.8398437500
battery_capacity_milli_coulomb	53875840
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.58763
% bat	49885.03515
% batA	0.00000
% batB	0.00000
% batC	36.60714

dt_ms	41736.00
last_read_micros	5265324
current_read_micros	5307060
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0868000984
calculte_milli_coulombs_transffred	-333888.0312500000
battery_capacity_coulomb	53869.7265625000
battery_capacity_milli_coulomb	53869728
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.60594
% bat	49879.37500
% batA	0.00000
% batB	0.00000
% batC	-6.02679

BAT PERCENT
49.87 %
dt_ms	76232.00
last_read_micros	5307060
current_read_micros	5383292
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8115999221
calculte_milli_coulombs_transffred	-609856.0000000000
battery_capacity_coulomb	53863.5195312500
battery_capacity_milli_coulomb	53863520
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.62425
% bat	49873.62890
% batA	0.00000
% batB	0.00000
% batC	-49.33036

dt_ms	39100.00
last_read_micros	5383292
current_read_micros	5422392
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9550000190
calculte_milli_coulombs_transffred	-312800.0000000000
battery_capacity_coulomb	53843.4882812500
battery_capacity_milli_coulomb	53843488
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.68529
% bat	49855.07812
% batA	0.00000
% batB	-100.00000
% batC	-189.06250

dt_ms	42156.00
last_read_micros	5422392
current_read_micros	5464548
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1078000068
calculte_milli_coulombs_transffred	-337248.0312500000
battery_capacity_coulomb	53858.3671875000
battery_capacity_milli_coulomb	53858368
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.63951
% bat	49868.85937
% batA	0.00000
% batB	0.00000
% batC	-85.26786

dt_ms	41820.00
last_read_micros	5464548
current_read_micros	5506368
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0910000801
calculte_milli_coulombs_transffred	-334560.0312500000
battery_capacity_coulomb	53848.8007812500
battery_capacity_milli_coulomb	53848800
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.67003
% bat	49860.00000
% batA	0.00000
% batB	-100.00000
% batC	-152.00892

dt_ms	42160.00
last_read_micros	5506368
current_read_micros	5548528
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1080000400
calculte_milli_coulombs_transffred	-337280.0312500000
battery_capacity_coulomb	53841.9218750000
battery_capacity_milli_coulomb	53841920
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.69140
% bat	49853.62890
% batA	0.00000
% batB	-200.00000
% batC	-200.00000

dt_ms	42164.00
last_read_micros	5548528
current_read_micros	5590692
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1082000732
calculte_milli_coulombs_transffred	-337312.0312500000
battery_capacity_coulomb	53832.3203125000
battery_capacity_milli_coulomb	53832320
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.71886
% bat	49844.74218
% batA	0.00000
% batB	100.00000
% batC	190.17857

dt_ms	41988.00
last_read_micros	5590692
current_read_micros	5632680
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0994000434
calculte_milli_coulombs_transffred	-335904.0312500000
battery_capacity_coulomb	53822.6875000000
battery_capacity_milli_coulomb	53822688
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.74938
% bat	49835.82421
% batA	0.00000
% batB	100.00000
% batC	122.99108

BAT PERCENT
49.83 %
dt_ms	76432.00
last_read_micros	5632680
current_read_micros	5709112
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.8215999603
calculte_milli_coulombs_transffred	-611456.0000000000
battery_capacity_coulomb	53814.4648437500
battery_capacity_milli_coulomb	53814464
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.77379
% bat	49828.20703
% batA	0.00000
% batB	0.00000
% batC	65.62500

dt_ms	39008.00
last_read_micros	5709112
current_read_micros	5748120
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9503999710
calculte_milli_coulombs_transffred	-312064.0000000000
battery_capacity_coulomb	53792.8320312500
battery_capacity_milli_coulomb	53792832
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.84094
% bat	49808.17578
% batA	0.00000
% batB	0.00000
% batC	-85.26786

dt_ms	41828.00
last_read_micros	5748120
current_read_micros	5789948
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0913999080
calculte_milli_coulombs_transffred	-334624.0312500000
battery_capacity_coulomb	53808.4492187500
battery_capacity_milli_coulomb	53808448
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.79211
% bat	49822.63671
% batA	0.00000
% batB	0.00000
% batC	23.66072

dt_ms	41740.00
last_read_micros	5789948
current_read_micros	5831688
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0869998931
calculte_milli_coulombs_transffred	-333920.0312500000
battery_capacity_coulomb	53801.5039062500
battery_capacity_milli_coulomb	53801504
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.81347
% bat	49816.20703
% batA	0.00000
% batB	0.00000
% batC	-24.77679

dt_ms	41816.00
last_read_micros	5831688
current_read_micros	5873504
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0908000469
calculte_milli_coulombs_transffred	-334528.0312500000
battery_capacity_coulomb	53795.2656250000
battery_capacity_milli_coulomb	53795264
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.83178
% bat	49810.43359
% batA	0.00000
% batB	0.00000
% batC	-68.30358

dt_ms	41820.00
last_read_micros	5873504
current_read_micros	5915324
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0910000801
calculte_milli_coulombs_transffred	-334560.0312500000
battery_capacity_coulomb	53788.4140625000
battery_capacity_milli_coulomb	53788416
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.85314
% bat	49804.08984
% batA	0.00000
% batB	-100.00000
% batC	-116.07143

dt_ms	42160.00
last_read_micros	5915324
current_read_micros	5957484
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1080000400
calculte_milli_coulombs_transffred	-337280.0312500000
battery_capacity_coulomb	53781.5351562500
battery_capacity_milli_coulomb	53781536
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.87451
% bat	49797.71875
% batA	0.00000
% batB	-100.00000
% batC	-164.06250

BAT PERCENT
49.79 %
dt_ms	76624.00
last_read_micros	5957484
current_read_micros	6034108
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8311998367
calculte_milli_coulombs_transffred	-612992.0000000000
battery_capacity_coulomb	53771.9375000000
battery_capacity_milli_coulomb	53771936
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.90502
% bat	49788.82812
% batA	0.00000
% batB	200.00000
% batC	226.11607

dt_ms	39276.00
last_read_micros	6034108
current_read_micros	6073384
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9637999534
calculte_milli_coulombs_transffred	-314208.0000000000
battery_capacity_coulomb	53748.7695312500
battery_capacity_milli_coulomb	53748768
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.97522
% bat	49767.37500
% batA	0.00000
% batB	0.00000
% batC	64.50893

dt_ms	41728.00
last_read_micros	6073384
current_read_micros	6115112
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0864000320
calculte_milli_coulombs_transffred	-333824.0312500000
battery_capacity_coulomb	53762.2382812500
battery_capacity_milli_coulomb	53762240
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.93249
% bat	49779.85546
% batA	0.00000
% batB	100.00000
% batC	158.48214

dt_ms	41992.00
last_read_micros	6115112
current_read_micros	6157104
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0996000766
calculte_milli_coulombs_transffred	-335936.0312500000
battery_capacity_coulomb	53756.0976562500
battery_capacity_milli_coulomb	53756096
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.95080
% bat	49774.16796
% batA	0.00000
% batB	100.00000
% batC	115.62500

dt_ms	41988.00
last_read_micros	6157104
current_read_micros	6199092
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0994000434
calculte_milli_coulombs_transffred	-335904.0312500000
battery_capacity_coulomb	53747.8398437500
battery_capacity_milli_coulomb	53747840
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.97827
% bat	49766.51953
% batA	0.00000
% batB	0.00000
% batC	58.03571

dt_ms	41744.00
last_read_micros	6199092
current_read_micros	6240836
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0871999263
calculte_milli_coulombs_transffred	-333952.0312500000
battery_capacity_coulomb	53739.6171875000
battery_capacity_milli_coulomb	53739616
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-36.00268
% bat	49758.90234
% batA	0.00000
% batB	0.00000
% batC	0.66964

dt_ms	41640.00
last_read_micros	6240836
current_read_micros	6282476
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0820000171
calculte_milli_coulombs_transffred	-333120.0312500000
battery_capacity_coulomb	53733.3437500000
battery_capacity_milli_coulomb	53733344
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-36.02099
% bat	49753.09765
% batA	0.00000
% batB	0.00000
% batC	-43.08036

BAT PERCENT
49.75 %
dt_ms	76268.00
last_read_micros	6282476
current_read_micros	6358744
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8134000778
calculte_milli_coulombs_transffred	-610144.0000000000
battery_capacity_coulomb	53727.9023437500
battery_capacity_milli_coulomb	53727904
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-36.03931
% bat	49748.05859
% batA	0.00000
% batB	0.00000
% batC	-81.02679

dt_ms	39100.00
last_read_micros	6358744
current_read_micros	6397844
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9550000190
calculte_milli_coulombs_transffred	-312800.0000000000
battery_capacity_coulomb	53707.5859375000
battery_capacity_milli_coulomb	53707584
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-36.10034
% bat	49729.24218
% batA	0.00000
% batB	-200.00000
% batC	-222.76785

dt_ms	42160.00
last_read_micros	6397844
current_read_micros	6440004
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1080000400
calculte_milli_coulombs_transffred	-337280.0312500000
battery_capacity_coulomb	53722.4648437500
battery_capacity_milli_coulomb	53722464
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-36.05456
% bat	49743.02343
% batA	0.00000
% batB	-100.00000
% batC	-118.97322

dt_ms	42160.00
last_read_micros	6440004
current_read_micros	6482164
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1080000400
calculte_milli_coulombs_transffred	-337280.0312500000
battery_capacity_coulomb	53712.8632812500
battery_capacity_milli_coulomb	53712864
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-36.08509
% bat	49734.13281
% batA	0.00000
% batB	-100.00000
% batC	-185.93750

dt_ms	42160.00
last_read_micros	6482164
current_read_micros	6524324
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1080000400
calculte_milli_coulombs_transffred	-337280.0312500000
battery_capacity_coulomb	53703.2656250000
battery_capacity_milli_coulomb	53703264
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-36.11255
% bat	49725.24609
% batA	0.00000
% batB	200.00000
% batC	204.24107

dt_ms	41988.00
last_read_micros	6524324
current_read_micros	6566312
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0994000434
calculte_milli_coulombs_transffred	-335904.0312500000
battery_capacity_coulomb	53693.6640625000
battery_capacity_milli_coulomb	53693664
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-36.14307
% bat	49716.35937
% batA	0.00000
% batB	100.00000
% batC	137.27677

dt_ms	41992.00
last_read_micros	6566312
current_read_micros	6608304
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0996000766
calculte_milli_coulombs_transffred	-335936.0312500000
battery_capacity_coulomb	53685.4414062500
battery_capacity_milli_coulomb	53685440
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-36.16748
% bat	49708.74218
% batA	0.00000
% batB	0.00000
% batC	79.91072

BAT PERCENT
49.70 %
dt_ms	76196.00
last_read_micros	6608304
current_read_micros	6684500
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.8097999572
calculte_milli_coulombs_transffred	-609568.0000000000
battery_capacity_coulomb	53677.1835937500
battery_capacity_milli_coulomb	53677184
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-36.19190
% bat	49701.09375
% batA	0.00000
% batB	0.00000
% batC	22.32143

dt_ms	39008.00
last_read_micros	6684500
current_read_micros	6723508
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9503999710
calculte_milli_coulombs_transffred	-312064.0000000000
battery_capacity_coulomb	53657.4414062500
battery_capacity_milli_coulomb	53657440
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-36.25294
% bat	49682.81640
% batA	0.00000
% batB	-100.00000
% batC	-115.40179

dt_ms	42160.00
last_read_micros	6723508
current_read_micros	6765668
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1080000400
calculte_milli_coulombs_transffred	-337280.0312500000
battery_capacity_coulomb	53673.0546875000
battery_capacity_milli_coulomb	53673056
